Base Type,Item Name,Rarity,List Count,Count
Eye of Winter,Eye of Winter,8,5,5
Flame Surge,Flame Surge,8,6,5
Summon Stone Golem,Summon Stone Golem,6,15,14
Vaal Reap,Vaal Reap,7,8,7
Herald of Purity,Herald of Purity,6,14,13
Summon Ice Golem,Summon Ice Golem,10,3,2
Manabond,Manabond,8,5,5
Haste,Haste,8,6,5
Autoexertion,Autoexertion,8,5,5
Sniper's Mark,Sniper's Mark,7,10,10
Herald of Ice,Herald of Ice,8,5,4
Caustic Arrow,Caustic Arrow,7,10,10
Absolution,Absolution,6,12,12
Hydrosphere,Hydrosphere,8,7,7
Bane,Bane,10,3,2
Flicker Strike,Flicker Strike,8,6,6
Shock Nova,Shock Nova,10,3,3
Voltaxic Burst,Voltaxic Burst,8,5,3
Volcanic Fissure,Volcanic Fissure,4,28,28
Animate Guardian,Animate Guardian,10,3,3
Creeping Frost,Creeping Frost,7,8,7
Vaal Righteous Fire,Vaal Righteous Fire,4,29,29
Clarity,Clarity,6,12,11
Flameblast,Flameblast,8,6,5
Battlemage's Cry,Battlemage's Cry,7,9,8
Ensnaring Arrow,Ensnaring Arrow,8,6,4
Perforate,Perforate,8,7,7
Frostbite,Frostbite,7,8,6
Firestorm,Firestorm,10,3,3
Wither,Wither,8,5,5
Void Sphere,Void Sphere,10,3,3
Static Strike,Static Strike,8,7,6
Freezing Pulse,Freezing Pulse,6,12,11
Flesh and Stone,Flesh and Stone,7,8,6
Ice Spear,Ice Spear,8,5,4
Flammability,Flammability,6,12,12
Orb of Storms,Orb of Storms,10,2,2
Shield Crush,Shield Crush,8,5,4
Swordstorm,Swordstorm,9,4,4
Spark,Spark,8,5,5
Vaal Ice Shot,Vaal Ice Shot,4,25,25
Zealotry,Zealotry,9,4,3
Blood Rage,Blood Rage,6,12,12
Blood and Sand,Blood and Sand,6,13,12
Corrupting Fever,Corrupting Fever,8,7,7
Vaal Lightning Trap,Vaal Lightning Trap,4,25,23
Vaal Detonate Dead,Vaal Detonate Dead,6,16,15
Arcanist Brand,Arcanist Brand,10,2,1
Dark Pact,Dark Pact,8,5,4
Kinetic Bolt,Kinetic Bolt,8,6,6
Destructive Link,Destructive Link,10,2,2
Leap Slam,Leap Slam,7,11,10
Storm Brand,Storm Brand,8,7,7
Galvanic Field,Galvanic Field,12,1,1
Blazing Salvo,Blazing Salvo,8,5,5
Despair,Despair,8,6,6
Wintertide Brand,Wintertide Brand,8,6,6
Shattering Steel,Shattering Steel,8,7,5
Blade Vortex,Blade Vortex,8,5,4
Rain of Arrows,Rain of Arrows,7,11,8
Vaal Summon Skeletons,Vaal Summon Skeletons,5,18,17
Wild Strike,Wild Strike,12,1,1
Summon Raging Spirit,Summon Raging Spirit,7,8,8
Vaal Burning Arrow,Vaal Burning Arrow,5,20,18
Molten Shell,Molten Shell,7,9,9
Sweep,Sweep,9,4,4
Vaal Impurity of Ice,Vaal Impurity of Ice,8,5,5
Frost Bomb,Frost Bomb,7,10,10
Vaal Cleave,Vaal Cleave,5,19,15
Splitting Steel,Splitting Steel,7,9,8
Rejuvenation Totem,Rejuvenation Totem,9,4,3
Summon Flame Golem,Summon Flame Golem,7,9,7
Vortex,Vortex,7,8,8
General's Cry,General's Cry,8,7,6
Convocation,Convocation,8,6,6
Petrified Blood,Petrified Blood,7,8,6
Siege Ballista,Siege Ballista,8,6,6
Lightning Conduit,Lightning Conduit,8,5,5
Unearth,Unearth,10,3,2
Soulrend,Soulrend,12,1,1
Poacher's Mark,Poacher's Mark,12,1,1
Vaal Caustic Arrow,Vaal Caustic Arrow,5,21,18
Ambush,Ambush,8,7,6
Pyroclast Mine,Pyroclast Mine,8,6,6
Incinerate,Incinerate,8,5,3
Flame Wall,Flame Wall,7,11,11
Cyclone,Cyclone,7,8,8
Portal,Portal,8,6,6
Conductivity,Conductivity,10,3,3
Siphoning Trap,Siphoning Trap,7,8,7
Viper Strike,Viper Strike,7,11,4
Barrage,Barrage,9,4,4
Purity of Ice,Purity of Ice,10,2,1
Energy Blade,Energy Blade,8,5,4
Vaal Rejuvenation Totem,Vaal Rejuvenation Totem,6,12,10
Stormblast Mine,Stormblast Mine,8,7,7
Vaal Volcanic Fissure,Vaal Volcanic Fissure,5,19,18
Cold Snap,Cold Snap,8,6,6
Frost Wall,Frost Wall,8,5,4
Cremation,Cremation,7,10,10
Vaal Impurity of Fire,Vaal Impurity of Fire,8,7,7
Ground Slam,Ground Slam,4,25,24
Spectral Helix,Spectral Helix,7,8,8
Flame Dash,Flame Dash,5,20,19
Blast Rain,Blast Rain,12,1,1
Rallying Cry,Rallying Cry,8,7,7
Frozen Legion,Frozen Legion,10,2,2
Contagion,Contagion,8,7,7
Consecrated Path,Consecrated Path,8,6,6
Vaal Impurity of Lightning,Vaal Impurity of Lightning,8,6,6
Tornado Shot,Tornado Shot,10,3,3
Fireball,Fireball,7,11,8
Vaal Domination,Vaal Domination,5,19,19
Blight,Blight,7,10,8
Blink Arrow,Blink Arrow,6,15,13
Ice Nova,Ice Nova,7,8,8
Bodyswap,Bodyswap,12,1,1
Split Arrow,Split Arrow,7,9,9
Vaal Smite,Vaal Smite,6,16,16
Bear Trap,Bear Trap,8,6,6
Enfeeble,Enfeeble,10,3,3
Molten Strike,Molten Strike,6,12,12
Intimidating Cry,Intimidating Cry,6,13,12
Crushing Fist,Crushing Fist,7,8,7
Puncture,Puncture,7,11,8
Conversion Trap,Conversion Trap,8,6,6
Vaal Spark,Vaal Spark,5,24,23
Lightning Arrow,Lightning Arrow,9,4,3
Vaal Flicker Strike,Vaal Flicker Strike,4,26,25
Lightning Strike,Lightning Strike,10,2,2
Glacial Hammer,Glacial Hammer,7,10,10
Storm Call,Storm Call,10,3,2
Explosive Trap,Explosive Trap,8,5,4
Charged Dash,Charged Dash,10,2,2
Rolling Magma,Rolling Magma,5,19,18
Lacerate,Lacerate,6,13,13
Vaal Haste,Vaal Haste,9,4,4
Tempest Shield,Tempest Shield,7,8,7
Ice Shot,Ice Shot,7,8,7
Seismic Trap,Seismic Trap,12,1,1
Raise Spectre,Raise Spectre,8,6,5
Lancing Steel,Lancing Steel,8,5,4
Protective Link,Protective Link,10,3,3
Vaal Ground Slam,Vaal Ground Slam,5,23,18
Pestilent Strike,Pestilent Strike,12,1,1
Vaal Cold Snap,Vaal Cold Snap,5,19,18
Chain Hook,Chain Hook,10,3,3
Storm Rain,Storm Rain,9,4,3
Tornado,Tornado,10,2,2
Dread Banner,Dread Banner,10,3,3
Spirit Offering,Spirit Offering,7,8,8
Scourge Arrow,Scourge Arrow,10,2,2
Winter Orb,Winter Orb,10,2,2
Frost Blades,Frost Blades,8,7,7
Summon Chaos Golem,Summon Chaos Golem,8,7,7
Desecrate,Desecrate,8,6,6
Holy Flame Totem,Holy Flame Totem,5,21,21
Summon Holy Relic,Summon Holy Relic,6,15,12
Warlord's Mark,Warlord's Mark,10,2,2
Vigilant Strike,Vigilant Strike,9,4,3
Vaal Clarity,Vaal Clarity,7,10,8
Divine Retribution,Divine Retribution,7,10,9
Arc,Arc,7,8,7
Double Strike,Double Strike,6,13,12
Pride,Pride,8,5,4
Wave of Conviction,Wave of Conviction,7,9,8
Vaal Earthquake,Vaal Earthquake,5,17,16
Seismic Cry,Seismic Cry,6,13,10
Mirror Arrow,Mirror Arrow,8,7,6
Purity of Fire,Purity of Fire,10,2,2
Vitality,Vitality,5,20,19
Hexblast,Hexblast,9,4,4
Ethereal Knives,Ethereal Knives,9,4,4
Whirling Blades,Whirling Blades,8,5,5
Explosive Arrow,Explosive Arrow,10,2,2
Toxic Rain,Toxic Rain,10,2,1
Forbidden Rite,Forbidden Rite,8,5,5
Berserk,Berserk,8,5,3
Flame Link,Flame Link,12,1,1
Vengeful Cry,Vengeful Cry,12,1,1
Raise Zombie,Raise Zombie,7,8,7
Vaal Arc,Vaal Arc,5,18,18
Lightning Tendrils,Lightning Tendrils,8,7,7
Power Siphon,Power Siphon,12,1,1
Exsanguinate,Exsanguinate,10,3,2
Venom Gyre,Venom Gyre,8,5,4
Righteous Fire,Righteous Fire,7,11,10
Arcane Cloak,Arcane Cloak,9,4,4
Summon Lightning Golem,Summon Lightning Golem,7,11,9
Vaal Blade Flurry,Vaal Blade Flurry,6,16,15
Summon Reaper,Summon Reaper,10,3,3
Earthquake,Earthquake,9,4,4
Sigil of Power,Sigil of Power,10,3,2
Ball Lightning,Ball Lightning,8,6,6
