Category,BaseType,DropLevelStart,DropLevelEnd,AreaLevelStart,AreaLevelEnd,Rarity (1-6),Usefulness (1-6),Normal-Tier,Magic-Tier,Rare-Tier
,Awakened Arrow Nova Support,,,,,11.0,,,,
,Awakened Blasphemy Support,,,,,10.0,,,,
,Awakened Brutality Support,,,,,8.0,,,,
,Awakened Burning Damage Support,,,,,9.0,,,,
,Awakened Cast On Critical Strike Support,,,,,10.0,,,,
,Awakened Cast While Channelling Support,,,,,11.0,,,,
,Awakened Chain Support,,,,,11.0,,,,
,Awakened Cold Penetration Support,,,,,8.0,,,,
,Awakened Controlled Destruction Support,,,,,8.0,,,,
,Awakened Deadly Ailments Support,,,,,8.0,,,,
,Awakened Elemental Damage with Attacks Support,,,,,8.0,,,,
,Awakened Elemental Focus Support,,,,,8.0,,,,
,Awakened Fire Penetration Support,,,,,10.0,,,,
,Awakened Fork Support,,,,,11.0,,,,
,Awakened Generosity Support,,,,,11.0,,,,
,Awakened Greater Multiple Projectiles Support,,,,,10.0,,,,
,Awakened Hextouch Support,,,,,9.0,,,,
,Awakened Increased Area of Effect Support,,,,,10.0,,,,
,Awakened Lightning Penetration Support,,,,,8.0,,,,
,Awakened Melee Physical Damage Support,,,,,9.0,,,,
,Awakened Melee Splash Support,,,,,8.0,,,,
,Awakened Minion Damage Support,,,,,8.0,,,,
,Awakened Multistrike Support,,,,,12.0,,,,
,Awakened Spell Cascade Support,,,,,11.0,,,,
,Awakened Spell Echo Support,,,,,11.0,,,,
,Awakened Swift Affliction Support,,,,,8.0,,,,
,Awakened Unbound Ailments Support,,,,,8.0,,,,
,Awakened Unleash Support,,,,,10.0,,,,
,Awakened Vicious Projectiles Support,,,,,8.0,,,,
,Awakened Void Manipulation Support,,,,,9.0,,,,
Skill Gems,Ball Lightning,,,,,2.8181818181818183,4.0,,,
,Ball Lightning of Orbiting,,,,,6.0,,,,
,Ball Lightning of Static,,,,,5.0,,,,
Skill Gems,Ballista Totem Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Bane,,,,,2.8181818181818183,4.0,,,
,Bane of Condemnation,,,,,7.0,,,,
Skill Gems,Barrage,,,,,2.8181818181818183,5.0,,,
Skill Gems,Barrage Support,,,,,3.2727272727272725,5.0,,,
,Barrage of Volley Fire,,,,,5.0,,,,
Skill Gems,Battlemage's Cry,,,,,2.8181818181818183,3.0,,,
Skill Gems,Bear Trap,,,,,2.8181818181818183,3.0,,,
,Bear Trap of Skewers,,,,,6.0,,,,
Skill Gems,Behead Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Berserk,,,,,2.3636363636363633,5.0,,,
Skill Gems,Blade Blast,,,,,2.8181818181818183,3.0,,,
,Blade Blast of Dagger Detonation,,,,,5.0,,,,
,Blade Blast of Unloading,,,,,5.0,,,,
Skill Gems,Blade Flurry,,,,,2.8181818181818183,5.0,,,
,Blade Flurry of Incision,,,,,5.0,,,,
Skill Gems,Blade Trap,,,,,2.8181818181818183,3.0,,,
,Blade Trap of Greatswords,,,,,5.0,,,,
,Blade Trap of Laceration,,,,,5.0,,,,
Skill Gems,Blade Vortex,,,,,2.8181818181818183,6.0,,,
,Blade Vortex of the Scythe,,,,,4.0,,,,
Skill Gems,Bladefall,,,,,2.8181818181818183,5.0,,,
,Bladefall of Impaling,,,,,5.0,,,,
,Bladefall of Trarthus,,,,,2.0,,,,
,Bladefall of Volleys,,,,,5.0,,,,
Skill Gems,Bladestorm,,,,,2.8181818181818183,5.0,,,
,Bladestorm of Uncertainty,,,,,4.0,,,,
Skill Gems,Blasphemy Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Blast Rain,,,,,2.8181818181818183,5.0,,,
,Blast Rain of Trarthus,,,,,3.0,,,,
Skill Gems,Blastchain Mine Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Blazing Salvo,,,,,2.8181818181818183,4.0,,,
Skill Gems,Blight,,,,,2.8181818181818183,3.0,,,
,Blight of Atrophy,,,,,6.0,,,,
,Blight of Contagion,,,,,6.0,,,,
Skill Gems,Blind Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Blink Arrow,,,,,2.3636363636363633,4.0,,,
,Blink Arrow of Bombarding Clones,,,,,5.0,,,,
,Blink Arrow of Prismatic Clones,,,,,5.0,,,,
Skill Gems,Block Chance Reduction Support,,,,,6.0,3.0,,,
Skill Gems,Blood Rage,,,,,1.9090909090909092,3.0,,,
Skill Gems,Blood and Sand,,,,,2.3636363636363633,5.0,,,
Skill Gems,Bloodlust Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Bloodthirst Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Bodyswap,,,,,2.8181818181818183,3.0,,,
,Bodyswap of Sacrifice,,,,,7.0,,,,
Skill Gems,Bone Offering,,,,,2.8181818181818183,3.0,,,
Skill Gems,Bonechill Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Boneshatter,,,,,2.8181818181818183,3.0,,,
,Boneshatter of Carnage,,,,,3.0,,,,
,Boneshatter of Complex Trauma,,,,,2.0,,,,
Skill Gems,Brand Recall,,,,,2.8181818181818183,3.0,,,
Skill Gems,Brutality Support,,,,,2.8181818181818183,6.0,,,
Skill Gems,Burning Arrow,,,,,2.3636363636363633,5.0,,,
,Burning Arrow of Vigour,,,,,5.0,,,,
Skill Gems,Burning Damage Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Cast On Critical Strike Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Cast on Death Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Cast on Melee Kill Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Cast when Damage Taken Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Cast when Stunned Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Cast while Channelling Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Caustic Arrow,,,,,2.3636363636363633,4.0,,,
,Caustic Arrow of Poison,,,,,4.0,,,,
Skill Gems,Chain Hook,,,,,2.8181818181818183,4.0,,,
,Chain Hook of Trarthus,,,,,2.0,,,,
Skill Gems,Chain Support,,,,,3.2727272727272725,5.0,,,
Skill Gems,Chance to Bleed Support,,,,,1.9090909090909092,5.0,,,
Skill Gems,Chance to Flee Support,,,,,2.8181818181818183,2.0,,,
Skill Gems,Chance to Poison Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Charged Dash,,,,,2.8181818181818183,4.0,,,
Skill Gems,Charged Mines Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Charged Traps Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Clarity,,,,,1.9090909090909092,5.0,,,
Skill Gems,Cleave,,,,,2.8181818181818183,6.0,,,
,Cleave of Rage,,,,,3.0,,,,
Skill Gems,Close Combat Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Cluster Traps Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Cobra Lash,,,,,2.3636363636363633,3.0,,,
Skill Gems,Cold Penetration Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Cold Snap,,,,,2.8181818181818183,4.0,,,
,Cold Snap of Power,,,,,6.0,,,,
Skill Gems,Cold to Fire Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Combustion Support,,,,,1.9090909090909092,4.0,,,
Skill Gems,Concentrated Effect Support,,,,,2.3636363636363633,6.0,,,
Skill Gems,Conductivity,,,,,2.8181818181818183,4.0,,,
Skill Gems,Consecrated Path,,,,,2.8181818181818183,3.0,,,
,Consecrated Path of Endurance,,,,,3.0,,,,
Skill Gems,Contagion,,,,,2.8181818181818183,4.0,,,
,Contagion of Subsiding,,,,,6.0,,,,
,Contagion of Transference,,,,,6.0,,,,
Skill Gems,Controlled Blaze Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Controlled Destruction Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Conversion Trap,,,,,2.8181818181818183,3.0,,,
Skill Gems,Convocation,,,,,2.8181818181818183,3.0,,,
Skill Gems,Corrupting Cry Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Corrupting Fever,,,,,2.8181818181818183,3.0,,,
Skill Gems,Crackling Lance,,,,,2.8181818181818183,4.0,,,
,Crackling Lance of Branching,,,,,6.0,,,,
,Crackling Lance of Disintegration,,,,,6.0,,,,
Skill Gems,Creeping Frost,,,,,2.3636363636363633,3.0,,,
Skill Gems,Cremation,,,,,2.8181818181818183,4.0,,,
,Cremation of Exhuming,,,,,5.0,,,,
,Cremation of the Volcano,,,,,5.0,,,,
Skill Gems,Critical Strike Affliction Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Cruelty Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Crushing Fist,,,,,2.8181818181818183,5.0,,,
Skill Gems,Culling Strike Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Cursed Ground Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Cyclone,,,,,2.3636363636363633,6.0,,,
,Cyclone of Tumult,,,,,5.0,,,,
Skill Gems,Damage on Full Life Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Dark Pact,,,,,2.8181818181818183,3.0,,,
,Dark Pact of Trarthus,,,,,3.0,,,,
Skill Gems,Dash,,,,,1.9090909090909092,4.0,,,
Skill Gems,Deadly Ailments Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Decay Support,,,,,3.2727272727272725,5.0,,,
Skill Gems,Decoy Totem,,,,,2.3636363636363633,3.0,,,
Skill Gems,Defiance Banner,,,,,2.8181818181818183,3.0,,,
Skill Gems,Desecrate,,,,,2.3636363636363633,3.0,,,
Skill Gems,Despair,,,,,2.3636363636363633,4.0,,,
Skill Gems,Destructive Link,,,,,2.8181818181818183,3.0,,,
Skill Gems,Determination,,,,,2.8181818181818183,5.0,,,
Skill Gems,Detonate Dead,,,,,2.3636363636363633,3.0,,,
,Detonate Dead of Chain Reaction,,,,,3.0,,,,
,Detonate Dead of Scavenging,,,,,5.0,,,,
Skill Gems,Detonate Mines,,,,,3.2727272727272725,3.0,,,
Skill Gems,Devour Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Devouring Totem,,,,,2.8181818181818183,3.0,,,
Skill Gems,Discharge,,,,,2.8181818181818183,4.0,,,
,Discharge of Misery,,,,,7.0,,,,
Skill Gems,Discipline,,,,,2.8181818181818183,5.0,,,
Skill Gems,Divine Ire,,,,,2.8181818181818183,4.0,,,
,Divine Ire of Disintegration,,,,,7.0,,,,
,Divine Ire of Holy Lightning,,,,,6.0,,,,
Skill Gems,Divine Retribution,,,,,2.8181818181818183,4.0,,,
Skill Gems,Dominating Blow,,,,,2.8181818181818183,5.0,,,
,Dominating Blow of Inspiring,,,,,3.0,,,,
Skill Gems,Double Strike,,,,,2.3636363636363633,5.0,,,
,Double Strike of Impaling,,,,,5.0,,,,
,Double Strike of Momentum,,,,,5.0,,,,
Skill Gems,Dread Banner,,,,,3.2727272727272725,3.0,,,
Skill Gems,Dual Strike,,,,,2.8181818181818183,5.0,,,
,Dual Strike of Ambidexterity,,,,,4.0,,,,
Skill Gems,Earthquake,,,,,2.8181818181818183,6.0,,,
,Earthquake of Amplification,,,,,3.0,,,,
Skill Gems,Earthshatter,,,,,2.3636363636363633,5.0,,,
,Earthshatter of Fragility,,,,,3.0,,,,
,Earthshatter of Prominence,,,,,3.0,,,,
Skill Gems,Efficacy Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Elemental Army Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Elemental Damage with Attacks Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Elemental Focus Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Elemental Hit,,,,,2.8181818181818183,4.0,,,
,Elemental Hit of the Spectrum,,,,,5.0,,,,
Skill Gems,Elemental Penetration Support,,,,,1.0,5.0,,,
Skill Gems,Elemental Proliferation Support,,,,,1.9090909090909092,5.0,,,
Skill Gems,Elemental Weakness,,,,,2.3636363636363633,4.0,,,
Skill Gems,Empower Support,,,,,3.2727272727272725,5.0,,,
Skill Gems,Endurance Charge on Melee Stun Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Enduring Cry,,,,,2.3636363636363633,3.0,,,
Skill Gems,Energy Blade,,,,,2.8181818181818183,3.0,,,
Skill Gems,Energy Leech Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Enfeeble,,,,,2.8181818181818183,4.0,,,
Skill Gems,Enhance Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Enlighten Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Ensnaring Arrow,,,,,2.8181818181818183,4.0,,,
Skill Gems,Essence Drain,,,,,2.3636363636363633,3.0,,,
,Essence Drain of Desperation,,,,,6.0,,,,
,Essence Drain of Wickedness,,,,,6.0,,,,
Skill Gems,Eternal Blessing Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Ethereal Knives,,,,,2.3636363636363633,4.0,,,
,Ethereal Knives of Lingering Blades,,,,,5.0,,,,
,Ethereal Knives of the Massacre,,,,,5.0,,,,
Skill Gems,Eviscerate,,,,,2.8181818181818183,5.0,,,
Skill Gems,Expert Retaliation Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Explosive Arrow,,,,,2.8181818181818183,5.0,,,
Skill Gems,Explosive Concoction,,,,,1.9090909090909092,3.0,,,
,Explosive Concoction of Destruction,,,,,3.0,,,,
Skill Gems,Explosive Trap,,,,,2.3636363636363633,4.0,,,
,Explosive Trap of Magnitude,,,,,5.0,,,,
,Explosive Trap of Shrapnel,,,,,4.0,,,,
Skill Gems,Exsanguinate,,,,,2.3636363636363633,3.0,,,
,Exsanguinate of Transmission,,,,,3.0,,,,
Skill Gems,Eye of Winter,,,,,2.8181818181818183,3.0,,,
,Eye of Winter of Finality,,,,,5.0,,,,
,Eye of Winter of Transience,,,,,5.0,,,,
Skill Gems,Faster Attacks Support,,,,,1.9090909090909092,6.0,,,
Skill Gems,Faster Casting Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Faster Projectiles Support,,,,,3.2727272727272725,6.0,,,
Skill Gems,Feeding Frenzy Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Fire Penetration Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Fire Trap,,,,,2.8181818181818183,4.0,,,
,Fire Trap of Blasting,,,,,4.0,,,,
Skill Gems,Fireball,,,,,1.9090909090909092,4.0,,,
Skill Gems,Firestorm,,,,,2.3636363636363633,5.0,,,
,Firestorm of Meteors,,,,,6.0,,,,
,Firestorm of Pelting,,,,,7.0,,,,
Skill Gems,Fist of War Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Flame Dash,,,,,2.3636363636363633,4.0,,,
,Flame Dash of Return,,,,,7.0,,,,
Skill Gems,Flame Link,,,,,2.8181818181818183,3.0,,,
Skill Gems,Flame Surge,,,,,2.8181818181818183,4.0,,,
,Flame Surge of Combusting,,,,,6.0,,,,
Skill Gems,Flame Wall,,,,,1.9090909090909092,4.0,,,
Skill Gems,Flameblast,,,,,2.8181818181818183,5.0,,,
,Flameblast of Celerity,,,,,6.0,,,,
,Flameblast of Contraction,,,,,6.0,,,,
Skill Gems,Flamethrower Trap,,,,,2.8181818181818183,3.0,,,
Skill Gems,Flamewood Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Flammability,,,,,2.3636363636363633,3.0,,,
Skill Gems,Flesh Offering,,,,,2.3636363636363633,3.0,,,
Skill Gems,Flesh and Stone,,,,,2.8181818181818183,3.0,,,
Skill Gems,Flicker Strike,,,,,2.8181818181818183,4.0,,,
,Flicker Strike of Power,,,,,4.0,,,,
Skill Gems,Focused Ballista Support,,,,,3.2727272727272725,3.0,,,
,Focused Channelling Support,,,,,5.0,,,,
Skill Gems,Forbidden Rite,,,,,2.3636363636363633,3.0,,,
,Forbidden Rite of Soul Sacrifice,,,,,6.0,,,,
Skill Gems,Fork Support,,,,,3.2727272727272725,5.0,,,
Skill Gems,Fortify Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Freezing Pulse,,,,,2.3636363636363633,5.0,,,
Skill Gems,Frenzy,,,,,2.8181818181818183,5.0,,,
,Frenzy of Onslaught,,,,,4.0,,,,
Skill Gems,Fresh Meat Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Frigid Bond Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Frost Blades,,,,,2.3636363636363633,5.0,,,
,Frost Blades of Katabasis,,,,,4.0,,,,
Skill Gems,Frost Bomb,,,,,2.3636363636363633,3.0,,,
,Frost Bomb of Forthcoming,,,,,6.0,,,,
,Frost Bomb of Instability,,,,,6.0,,,,
Skill Gems,Frost Shield,,,,,2.8181818181818183,3.0,,,
Skill Gems,Frost Wall,,,,,2.8181818181818183,3.0,,,
Skill Gems,Frostbite,,,,,2.8181818181818183,4.0,,,
Skill Gems,Frostblink,,,,,1.4545454545454546,3.0,,,
,Frostblink of Wintry Blast,,,,,6.0,,,,
Skill Gems,Frostbolt,,,,,2.8181818181818183,3.0,,,
Skill Gems,Frozen Legion,,,,,2.8181818181818183,3.0,,,
,Frozen Legion of Rallying,,,,,4.0,,,,
Skill Gems,Galvanic Arrow,,,,,2.3636363636363633,5.0,,,
,Galvanic Arrow of Energy,,,,,5.0,,,,
,Galvanic Arrow of Surging,,,,,5.0,,,,
Skill Gems,Galvanic Field,,,,,2.8181818181818183,3.0,,,
,Galvanic Field of Intensity,,,,,6.0,,,,
Skill Gems,General's Cry,,,,,2.8181818181818183,3.0,,,
Skill Gems,Generosity Support,,,,,2.8181818181818183,2.0,,,
Skill Gems,Glacial Cascade,,,,,2.8181818181818183,5.0,,,
,Glacial Cascade of the Fissure,,,,,5.0,,,,
Skill Gems,Glacial Hammer,,,,,2.3636363636363633,6.0,,,
,Glacial Hammer of Shattering,,,,,3.0,,,,
Skill Gems,Glacial Shield Swipe,,,,,2.8181818181818183,4.0,,,
Skill Gems,Grace,,,,,2.3636363636363633,5.0,,,
Skill Gems,Greater Multiple Projectiles Support,,,,,2.3636363636363633,5.0,,,
Skill Gems,Greater Volley Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Ground Slam,,,,,1.9090909090909092,5.0,,,
,Ground Slam of Earthshaking,,,,,2.0,,,,
Skill Gems,Guardian's Blessing Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Haste,,,,,2.3636363636363633,4.0,,,
Skill Gems,Hatred,,,,,2.8181818181818183,3.0,,,
Skill Gems,Heavy Strike,,,,,1.9090909090909092,5.0,,,
,Heavy Strike of Trarthus,,,,,3.0,,,,
Skill Gems,Herald of Agony,,,,,2.3636363636363633,3.0,,,
Skill Gems,Herald of Ash,,,,,1.9090909090909092,3.0,,,
Skill Gems,Herald of Ice,,,,,2.3636363636363633,4.0,,,
Skill Gems,Herald of Purity,,,,,2.3636363636363633,3.0,,,
Skill Gems,Herald of Thunder,,,,,2.3636363636363633,4.0,,,
Skill Gems,Hex Bloom Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Hexblast,,,,,2.8181818181818183,3.0,,,
,Hexblast of Contradiction,,,,,6.0,,,,
,Hexblast of Havoc,,,,,6.0,,,,
Skill Gems,Hextouch Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,High-Impact Mine Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Holy Flame Totem,,,,,1.9090909090909092,3.0,,,
,Holy Flame Totem of Ire,,,,,3.0,,,,
Skill Gems,Hydrosphere,,,,,2.8181818181818183,3.0,,,
Skill Gems,Hypothermia Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Ice Bite Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Ice Crash,,,,,2.8181818181818183,6.0,,,
,Ice Crash of Cadence,,,,,4.0,,,,
Skill Gems,Ice Nova,,,,,2.8181818181818183,4.0,,,
,Ice Nova of Deep Freeze,,,,,6.0,,,,
,Ice Nova of Frostbolts,,,,,5.0,,,,
Skill Gems,Ice Shot,,,,,2.8181818181818183,5.0,,,
,Ice Shot of Penetration,,,,,5.0,,,,
Skill Gems,Ice Spear,,,,,2.8181818181818183,4.0,,,
,Ice Spear of Splitting,,,,,6.0,,,,
Skill Gems,Ice Trap,,,,,2.8181818181818183,3.0,,,
,Ice Trap of Hollowness,,,,,5.0,,,,
Skill Gems,Icicle Mine,,,,,2.8181818181818183,3.0,,,
,Icicle Mine of Fanning,,,,,6.0,,,,
,Icicle Mine of Sabotage,,,,,5.0,,,,
Skill Gems,Ignite Proliferation Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Immolate Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Immortal Call,,,,,2.8181818181818183,3.0,,,
Skill Gems,Impale Support,,,,,3.2727272727272725,6.0,,,
Skill Gems,Impending Doom Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Incinerate,,,,,2.8181818181818183,4.0,,,
,Incinerate of Expanse,,,,,6.0,,,,
,Incinerate of Venting,,,,,6.0,,,,
Skill Gems,Increased Area of Effect Support,,,,,2.3636363636363633,6.0,,,
Skill Gems,Increased Critical Damage Support,,,,,2.8181818181818183,6.0,,,
Skill Gems,Increased Critical Strikes Support,,,,,2.3636363636363633,6.0,,,
Skill Gems,Infernal Blow,,,,,2.8181818181818183,6.0,,,
,Infernal Blow of Immolation,,,,,4.0,,,,
Skill Gems,Infernal Cry,,,,,2.3636363636363633,3.0,,,
Skill Gems,Infernal Legion Support,,,,,2.3636363636363633,4.0,,,
Skill Gems,Infused Channelling Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Innervate Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Inspiration Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Intensify Support,,,,,3.2727272727272725,4.0,,,
Skill Gems,Intimidating Cry,,,,,2.3636363636363633,3.0,,,
Skill Gems,Intuitive Link,,,,,2.8181818181818183,3.0,,,
Skill Gems,Iron Grip Support,,,,,3.2727272727272725,2.0,,,
Skill Gems,Iron Will Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Item Quantity Support,,,,,1.0,2.0,,,
Skill Gems,Item Rarity Support,,,,,2.8181818181818183,2.0,,,
Skill Gems,Kinetic Blast,,,,,2.8181818181818183,4.0,,,
,Kinetic Blast of Clustering,,,,,5.0,,,,
Skill Gems,Kinetic Bolt,,,,,2.8181818181818183,3.0,,,
,Kinetic Bolt of Fragmentation,,,,,5.0,,,,
Skill Gems,Knockback Support,,,,,2.8181818181818183,3.0,,,
Skill Gems,Lacerate,,,,,2.8181818181818183,5.0,,,
,Lacerate of Butchering,,,,,5.0,,,,
,Lacerate of Haemorrhage,,,,,5.0,,,,
Skill Gems,Lancing Steel,,,,,2.8181818181818183,5.0,,,
,Lancing Steel of Spraying,,,,,6.0,,,,
Skill Gems,Leap Slam,,,,,2.3636363636363633,4.0,,,
,Leap Slam of Groundbreaking,,,,,3.0,,,,
Skill Gems,Less Duration Support,,,,,3.2727272727272725,3.0,,,
Skill Gems,Lesser Multiple Projectiles Support,,,,,1.9090909090909092,4.0,,,
Skill Gems,Life Gain on Hit Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Life Leech Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Lifetap Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Lightning Arrow,,,,,2.3636363636363633,5.0,,,
,Lightning Arrow of Electrocution,,,,,4.0,,,,
Skill Gems,Lightning Conduit,,,,,2.8181818181818183,3.0,,,
,Lightning Conduit of the Heavens,,,,,6.0,,,,
Skill Gems,Lightning Penetration Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Lightning Spire Trap,,,,,2.8181818181818183,4.0,,,
,Lightning Spire Trap of Overloading,,,,,7.0,,,,
,Lightning Spire Trap of Zapping,,,,,7.0,,,,
Skill Gems,Lightning Strike,,,,,2.8181818181818183,6.0,,,
,Lightning Strike of Arcing,,,,,4.0,,,,
Skill Gems,Lightning Tendrils,,,,,2.8181818181818183,4.0,,,
,Lightning Tendrils of Eccentricity,,,,,6.0,,,,
,Lightning Tendrils of Escalation,,,,,6.0,,,,
Skill Gems,Lightning Trap,,,,,2.8181818181818183,4.0,,,
,Lightning Trap of Sparking,,,,,6.0,,,,
Skill Gems,Lightning Warp,,,,,2.8181818181818183,4.0,,,
Skill Gems,Locus Mine Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Maim Support,,,,,2.3636363636363633,6.0,,,
Skill Gems,Malevolence,,,,,2.8181818181818183,5.0,,,
Skill Gems,Mana Leech Support,,,,,2.8181818181818183,5.0,,,
Skill Gems,Manabond,,,,,2.8181818181818183,3.0,,,
Skill Gems,Manaforged Arrows Support,,,,,2.3636363636363633,3.0,,,
Skill Gems,Mark On Hit Support,,,,,2.8181818181818183,4.0,,,
Skill Gems,Meat Shield Support,,,,,2.8181818181818183,5.0,,,
