name,baseType,weighted_listings,total_listings,max_listings,total_count,leagues_seen,avg_weighted_listings
Meginord's Vise,Steel Gauntlets,7115.950000000001,9314,6279,814,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1423.19
Redblade Banner,Painted Tower Shield,4380.950000000001,6553,3128,769,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",876.1900000000002
Veil of the Night,Great Helmet,10001.05,16064,7275,1015,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2000.2099999999998
Gorgon's Gaze,Regicide Mask,3692.9,5658,2569,626,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",738.58
Saqawal's Winds,Soldier Gloves,1764.9,2464,1501,170,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",441.225
Maloney's Mechanism,Ornate Quiver,5566.700000000001,9724,6222,952,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1113.3400000000001
Crown of the Inward Eye,Prophet Crown,18985.500000000004,24190,18411,774,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",4746.375000000001
Replica Lioneye's Paws,Bronzescale Boots,1177.0,1918,1060,199,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",235.4
Replica Kalisa's Grace,Samite Gloves,1076.6000000000001,1830,1102,196,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",269.15000000000003
Replica Inya's Epiphany,Arcanist Slippers,1608.2,2451,1220,250,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",402.05
Carcass Jack,Varnished Coat,19075.75,28219,11034,1611,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3815.15
Apep's Slumber,Ancient Spirit Shield,594.5,659,618,40,"{'Standard', 'Hardcore'}",297.25
Sporeguard,Saint's Hauberk,839.6,1205,401,139,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",209.9
Replica Eternity Shroud,Blood Raiment,1060.9,1685,793,237,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",265.225
Abyssus,Ezomyte Burgonet,26562.15,36989,23018,1204,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",5312.43
Kintsugi,Exquisite Leather,4253.900000000001,6566,2642,594,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1063.4750000000001
Replica Mistwall,Lacquered Buckler,1431.2000000000003,2530,1647,251,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",357.80000000000007
Breathstealer,Hydrascale Gauntlets,3280.6000000000004,5023,2483,459,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",656.1200000000001
The Vertex,Vaal Mask,9061.2,13723,6867,744,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",2265.3
The Bringer of Rain,Nightmare Bascinet,9832.75,13716,8048,972,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1966.55
Rise of the Phoenix,Mosaic Kite Shield,16833.1,26042,11600,1233,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3366.62
Belly of the Beast,Full Wyrmscale,19256.05,25423,10095,1377,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3851.21
Nightgrip,Runic Gages,1479.85,2613,1512,538,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",295.96999999999997
Thundersight,Solaris Circlet,2709.1000000000004,4624,2759,486,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",541.82
Rearguard,Blunt Arrow Quiver,6229.05,11889,7411,923,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1245.81
Maligaro's Virtuosity,Deerskin Gloves,8845.2,12183,7279,1006,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1769.0400000000002
Queen of the Forest,Destiny Leather,19402.600000000002,27288,9352,1665,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3880.5200000000004
Death's Oath,Astral Plate,14095.050000000003,22412,10747,1316,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2819.0100000000007
Grip of the Council,Arcanist Gloves,3933.75,6383,3253,737,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",786.75
Veruso's Ambition,Shackled Boots,8338.85,17683,12678,1030,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1667.77
Redblade Tramplers,Ancient Greaves,4210.400000000001,6177,3143,607,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",842.0800000000002
Usurper's Penance,Eternal Burgonet,4560.3,8652,6121,857,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",912.0600000000001
Blackgleam,Fire Arrow Quiver,6075.1,6714,6389,185,"{'Standard', 'Hardcore'}",3037.55
Daresso's Courage,Baroque Round Shield,8447.85,10942,7724,798,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1689.5700000000002
Lioneye's Vision,Crusader Plate,15460.35,26964,15589,1358,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3092.07
Rainbowstride,Conjurer Boots,6819.6,9685,5480,903,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1363.92
Soul Mantle,Spidersilk Robe,23453.85,38816,19855,1486,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",4690.7699999999995
The Signal Fire,Fire Arrow Quiver,574.3000000000001,635,607,29,"{'Standard', 'Hardcore'}",287.15000000000003
Lycosidae,Rawhide Tower Shield,8454.2,14872,8987,1033,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1690.8400000000001
Replica Voidwalker,Murder Boots,2077.9,3344,1805,382,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",519.475
Replica Alpha's Howl,Sinner Tricorne,2048.05,3153,1519,377,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",409.61
Corpsewalker,Carnal Boots,2742.9,4316,2185,488,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",548.58
Inya's Epiphany,Arcanist Slippers,4058.5500000000006,6568,3352,726,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",811.7100000000002
Dendrobate,Sentinel Jacket,18036.9,30664,16549,1410,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3607.38
Blunderbore,Astral Plate,5872.3,10977,7116,1078,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1174.46
Sandstorm Visage,Necromancer Circlet,1338.6000000000001,1862,1184,310,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",334.65000000000003
Tabula Rasa,Simple Robe,18031.55,28537,14832,1241,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3606.31
Lioneye's Remorse,Pinnacle Tower Shield,6339.400000000001,8893,5104,832,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1267.88
Chalice of Horrors,War Buckler,12980.0,19204,9116,1015,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2596.0
Sin Trek,Stealth Boots,20440.0,36213,22303,1226,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",4088.0
Chains of Command,Saintly Chainmail,6373.5,10524,5491,862,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1274.7
Replica Stampede,Assassin's Boots,1277.7,2241,1466,168,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",255.54000000000002
Oskarm,Nubuck Gloves,11675.3,20457,10967,1208,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2335.06
Aukuna's Will,Clasped Mitts,8233.8,15295,9107,1035,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1646.7599999999998
Ashrend,Buckskin Tunic,15314.800000000001,22714,9553,1167,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3062.96
Broken Faith,Archon Kite Shield,938.65,1244,821,181,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",187.73
Tinkerskin,Sadist Garb,8775.4,13453,6079,1087,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1755.08
Third Piece of Directions,Blunt Arrow Quiver Piece,1512.5,2033,1383,151,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",378.125
Loreweave,Elegant Ringmail,17721.0,26736,10951,1216,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",4430.25
Dance of the Offered,Carnal Boots,1015.7,1597,841,121,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",253.925
Mindspiral,Aventail Helmet,14584.350000000002,26433,15108,1272,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2916.8700000000003
Vis Mortis,Necromancer Silks,13348.2,21758,10619,1333,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2669.6400000000003
Yriel's Fostering,Exquisite Leather,9241.150000000001,16493,3699,1852,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1848.2300000000002
Ambu's Charge,Crusader Chainmail,14661.05,21642,9530,1173,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2932.21
Asenath's Gentle Touch,Silk Gloves,14476.3,26307,18224,1133,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",3619.075
Vixen's Entrapment,Embroidered Gloves,5886.35,9261,4301,953,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1177.27
Briskwrap,Sun Leather,10070.900000000001,19350,11217,1135,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2014.1800000000003
Southbound,Soldier Gloves,20165.75,36400,23068,1227,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",4033.15
Aurseize,Steelscale Gauntlets,7380.75,11505,5457,933,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1476.15
Geofri's Sanctuary,Elegant Ringmail,11304.0,18012,8221,1198,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2260.8
Heretic's Veil,Deicide Mask,5360.200000000001,7575,4478,595,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1340.0500000000002
Rathpith Globe,Titanium Spirit Shield,5934.1,9532,5264,602,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1483.525
Saffell's Frame,Branded Kite Shield,11473.35,16882,8437,1132,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2294.67
Replica Red Trail,Titan Greaves,991.2,1688,1033,167,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",247.8
Black Zenith,Fingerless Silk Gloves,2040.5500000000002,3842,2549,643,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",408.11
Sudden Dawn,Steel Circlet,1333.0,2379,1488,349,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",333.25
The Poised Prism,Primal Arrow Quiver,7339.1,13992,9426,965,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1467.8200000000002
Volkuur's Guidance,Zealot Gloves,5259.85,8973,1789,1184,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1051.97
Hrimnor's Resolve,Samnite Helmet,12085.3,20355,10252,1187,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2417.06
Great Old One's Ward,Corrugated Buckler,8383.35,14232,7426,965,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1676.67
Surgebinders,Dragonscale Gauntlets,12384.2,19859,9488,1138,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2476.84
Thunderfist,Murder Mitts,5037.9,7450,3931,470,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1259.475
Maw of Conquest,Steel Circlet,5376.4,9389,5661,878,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1075.28
The Broken Crown,Prophet Crown,18852.9,31399,17443,1206,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3770.5800000000004
Speaker's Wreath,Prophet Crown,12715.05,22594,13987,1207,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2543.0099999999998
Starkonja's Head,Silken Hood,42214.90000000001,57209,36823,1229,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",8442.980000000001
Atziri's Mirror,Golden Buckler,6527.4,7234,6933,282,"{'Standard', 'Hardcore'}",3263.7
Scorpion's Call,Heavy Arrow Quiver,5730.45,11133,7470,826,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1146.09
Doedre's Scorn,Lunaris Circlet,13967.8,21759,9160,1167,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2793.56
Kaom's Roots,Titan Greaves,8254.15,12152,6343,913,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1650.83
Medved's Challenge,Runic Gauntlets,915.2,1462,709,231,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",228.8
Malachai's Loop,Harmonic Spirit Shield,16319.25,30347,19749,1228,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3263.85
Darkray Vectors,Dragonscale Boots,17228.4,30909,18809,1217,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3445.6800000000003
Crown of Thorns,Vine Circlet,11647.800000000001,18837,8194,1040,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2329.5600000000004
Skullhead,Secutor Helm,15890.6,23762,10985,1133,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3178.12
Ylfeban's Trickery,Hubris Circlet,5466.75,10297,7170,902,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1093.35
Curtain Call,Plague Mask,10006.4,16168,6823,1021,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2001.28
March of the Legion,Legion Boots,7701.6500000000015,12807,7121,1059,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1540.3300000000004
Bubonic Trail,Murder Boots,12530.1,20224,9726,1347,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",3132.525
El'Abin's Visage,Fencer Helm,656.3000000000001,729,727,138,"{'Standard', 'Hardcore'}",328.15000000000003
Maw of Mischief,Bone Helmet,4037.8,6428,3486,490,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1009.45
Honourhome,Soldier Helmet,12648.25,20772,9074,1132,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2529.65
Drillneck,Penetrating Arrow Quiver,9516.2,16136,7994,945,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1903.2400000000002
Demon Stitcher,Satin Gloves,10392.65,18900,10953,1216,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2078.5299999999997
Voll's Protector,Holy Chainmail,7431.300000000001,9918,5189,771,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1486.2600000000002
Windscream,Reinforced Greaves,10924.25,19215,12042,1207,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2184.85
Doryani's Prototype,Saint's Hauberk,5203.6,9665,5058,871,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",1300.9
Asphyxia's Wrath,Two-Point Arrow Quiver,5163.8,5711,5472,165,"{'Standard', 'Hardcore'}",2581.9
Crown of Eyes,Hubris Circlet,11685.600000000002,19635,11531,1206,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2337.1200000000003
Crown of the Pale King,Regicide Mask,7379.55,13073,7512,956,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1475.91
Daresso's Defiance,Full Dragonscale,8233.400000000001,11995,4851,932,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1646.6800000000003
Hrimburn,Goathide Gloves,925.3000000000001,1027,1017,67,"{'Standard', 'Hardcore'}",462.65000000000003
Icetomb,Latticed Ringmail,16381.549999999997,24815,10006,1248,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3276.3099999999995
Lightning Coil,Desert Brigandine,11598.5,18436,7907,1411,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2319.7
Lioneye's Paws,Bronzescale Boots,13050.45,21036,9679,1143,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2610.09
Ondar's Clasp,Wrapped Mitts,15229.2,23397,9369,1112,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3045.84
Saemus' Gift,Spike-Point Arrow Quiver,2065.6000000000004,2288,2224,71,"{'Standard', 'Hardcore'}",1032.8000000000002
Titucius' Span,Reinforced Tower Shield,8452.300000000001,14880,8023,872,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1690.4600000000003
Trolltimber Spire,Cedar Tower Shield,7144.050000000001,12409,6356,860,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1428.8100000000002
Voidbringer,Conjurer Gloves,11567.85,19194,9782,1171,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2313.57
Haemophilia,Serpentscale Gauntlets,5816.2,8718,4164,871,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1163.24
Eber's Unification,Hubris Circlet,11415.95,21342,14083,1208,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2283.19
First Piece of Directions,Blunt Arrow Quiver Piece,1525.6,2041,1402,139,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",381.4
Kalisa's Grace,Samite Gloves,12657.550000000001,21081,9984,999,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2531.51
Bloodbond,Bone Armour,10818.849999999999,18419,9386,1169,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2163.7699999999995
Wreath of Phrecia,Iron Circlet,8325.2,15353,9092,1091,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1665.0400000000002
Storm's Gift,Assassin's Mitts,9121.2,13475,7200,994,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1824.2400000000002
The Ivory Tower,Saint's Hauberk,8992.35,16405,9686,1403,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1798.47
Kongming's Stratagem,Ancient Spirit Shield,5146.650000000001,10171,7032,811,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1029.3300000000002
Wilma's Requital,Solaris Circlet,6933.4,13227,9302,1135,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1386.6799999999998
Tanu Ahi,Wyrmscale Gauntlets,7011.15,14005,9477,948,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1402.23
The Queen's Hunger,Vaal Regalia,9033.2,17168,12414,843,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1806.64
Leer Cast,Festival Mask,15127.3,26737,15632,1245,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3025.46
Chernobog's Pillar,Ebony Tower Shield,14308.25,24577,13754,1224,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2861.65
Victario's Influence,Lacquered Garb,15357.550000000003,27230,16106,1328,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3071.5100000000007
Thrillsteel,Barbute Helmet,9247.35,17130,8744,1147,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1849.47
The Restless Ward,Carnal Armour,16543.6,29736,17120,1398,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3308.72
Beacon of Madness,Two-Toned Boots,4782.35,8469,5507,721,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",956.47
Shavronne's Pace,Scholar Boots,18844.2,28751,12430,1223,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3768.84
Thousand Teeth Temu,Vaal Buckler,12097.7,18650,8177,1055,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2419.54
The Infinite Pursuit,Goliath Greaves,1953.3999999999999,2166,2097,102,"{'Standard', 'Hardcore'}",976.6999999999999
Wanderlust,Wool Shoes,21427.65,31507,14880,1222,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",4285.530000000001
Ahn's Contempt,Praetor Crown,12547.5,21528,12471,1202,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2509.5
Slitherpinch,Bronzescale Gauntlets,18142.9,28305,11546,1225,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3628.5800000000004
Elevore,Wolf Pelt,13912.650000000001,26738,16661,1248,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2782.53
Asenath's Mark,Iron Circlet,13169.400000000001,17290,12021,858,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2633.88
Algor Mortis,Carnal Mitts,11625.05,22790,16945,1197,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2325.0099999999998
Alberon's Warpath,Soldier Boots,15845.3,25074,11330,1223,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3169.06
Hrimsorrow,Goathide Gloves,18644.8,28819,11376,1153,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3728.96
Hyrri's Bite,Sharktooth Arrow Quiver,16608.800000000003,25220,9893,1124,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",3321.7600000000007
Skirmish,Two-Point Arrow Quiver,12049.95,20748,11558,1192,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2409.9900000000002
Snakebite,Assassin's Mitts,14737.750000000002,24406,13048,1216,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2947.55
The Stampede,Assassin's Boots,2452.7000000000003,3690,1919,325,"{'Standard', 'Settlers', 'Hardcore', 'Mercenaries'}",613.1750000000001
Inextricable Fate,Fugitive Boots,11651.45,23283,17056,1221,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2330.29
Orbala's Stand,Eelskin Boots,8527.6,16722,10630,1042,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",1705.52
Zeel's Amplifier,Polished Spiked Shield,11730.0,20804,11761,1192,"{'Hardcore Mercenaries', 'Mercenaries', 'Settlers', 'Standard', 'Hardcore'}",2346.0
